Model,MAE,MSE,R2
LinearRegression,82657.946058922,10549721686.159277,0.914645450513807
RobustRegression,199465.55955429238,61664910393.24914,0.5010881990728205
RidgeRegression,82659.67244409776,10549745186.670177,0.91464526037841
LassoRegression,82657.94662172228,10549717660.356375,0.9146454830853386
ElasticNet,99126.80843102591,15081376466.559593,0.8779812271613102
PolynomialRegression,84103.38646242008,10871248144.548668,0.9120440789496904
SGDRegressor,1.8060281823101545e+18,3.3403010930431037e+36,-2.702534753300485e+25
ANN,199096.75568873287,61404428944.07322,0.5031956742655634
RandomForest,99003.67704381533,15050878455.326511,0.8782279771786533
SVM,282947.68758691323,123546565157.52672,0.0004227861838135283
LGBM,92133.9888284538,13097708114.507051,0.8940304769478327
XGBoost,101565.19208841266,16138680641.877495,0.8694269046645823
KNN,198086.23684543537,60395811313.31432,0.5113560889227768
